match_id,season_year,season_label,match_date,match_number,event_name,city,venue,team1,team2,toss_winner,toss_decision,match_winner,team1_won,result,win_by_runs,win_by_wickets,player_of_match,balls_per_over,overs,format,match_type,gender,team_type,team1_id,team2_id,toss_winner_id,match_winner_id,player_of_match_id
335982,2008,2008,2008-04-18,1.0,Indian Premier League,Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,0.0,win,140.0,,BB McCullum,6,20,T20,T20,male,club,1,6,1,6.0,46.0
335983,2008,2008,2008-04-19,2.0,Indian Premier League,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,win,33.0,,MEK Hussey,6,20,T20,T20,male,club,494,129,129,129.0,11943.0
335984,2008,2008,2008-04-19,3.0,Indian Premier League,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,1.0,win,,9.0,MF Maharoof,6,20,T20,T20,male,club,252,134,134,252.0,11982.0
335985,2008,2008,2008-04-20,5.0,Indian Premier League,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0.0,win,,5.0,MV Boucher,6,20,T20,T20,male,club,3,1,3,1.0,11935.0
335986,2008,2008,2008-04-20,4.0,Indian Premier League,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,1.0,win,,5.0,DJ Hussey,6,20,T20,T20,male,club,6,2,2,6.0,11922.0
335987,2008,2008,2008-04-21,6.0,Indian Premier League,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,1.0,win,,6.0,SR Watson,6,20,T20,T20,male,club,134,494,494,134.0,5.0
335988,2008,2008,2008-04-22,7.0,Indian Premier League,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,0.0,win,,9.0,V Sehwag,6,20,T20,T20,male,club,2,252,2,252.0,11975.0
335989,2008,2008,2008-04-23,8.0,Indian Premier League,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,1.0,win,6.0,,ML Hayden,6,20,T20,T20,male,club,129,3,3,129.0,11942.0
335990,2008,2008,2008-04-24,9.0,Indian Premier League,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0.0,win,,3.0,YK Pathan,6,20,T20,T20,male,club,2,134,134,134.0,60.0
335991,2008,2008,2008-04-25,10.0,Indian Premier League,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,1.0,win,66.0,,KC Sangakkara,6,20,T20,T20,male,club,494,3,3,494.0,11954.0
